feature,importance,abs_importance
NHOHCount,0.08194770111985518,0.08194770111985518
BCUT2D_MWLOW,0.044105551505763146,0.044105551505763146
BCUT2D_MRLOW,0.03665768719309121,0.03665768719309121
PEOE_VSA7,0.03610114548473319,0.03610114548473319
NumSaturatedHeterocycles,0.034917094120663676,0.034917094120663676
MolLogP,0.033723102248904596,0.033723102248904596
BCUT2D_CHGLO,0.02591683203144427,0.02591683203144427
MinPartialCharge,0.018730781633752136,0.018730781633752136
SPS,0.017496384362569933,0.017496384362569933
qed,0.014786068229799922,0.014786068229799922
VSA_EState8,0.014221518162382851,0.014221518162382851
PEOE_VSA6,0.014055945851855697,0.014055945851855697
VSA_EState5,0.01315833729316322,0.01315833729316322
VSA_EState4,0.012948436421129236,0.012948436421129236
MaxAbsPartialCharge,0.012917065006387094,0.012917065006387094
BCUT2D_MRHI,0.01265296825608062,0.01265296825608062
MinEStateIndex,0.01220410533349162,0.01220410533349162
BalabanJ,0.011777694680893302,0.011777694680893302
VSA_EState7,0.011745235831779454,0.011745235831779454
BCUT2D_LOGPHI,0.01163921595559107,0.01163921595559107
