feature,importance,abs_importance
FractionCSP3,0.03681125198498813,0.03681125198498813
BCUT2D_CHGLO,0.03495222937864317,0.03495222937864317
VSA_EState4,0.03230895588380612,0.03230895588380612
SMR_VSA7,0.026461038637976067,0.026461038637976067
BCUT2D_MRLOW,0.023577141206856726,0.023577141206856726
VSA_EState8,0.020782544989070374,0.020782544989070374
HallKierAlpha,0.02005702809931782,0.02005702809931782
qed,0.019758763128638748,0.019758763128638748
BCUT2D_LOGPHI,0.018239442479694706,0.018239442479694706
EState_VSA8,0.01813458221165766,0.01813458221165766
VSA_EState5,0.01800002984080991,0.01800002984080991
MaxAbsEStateIndex,0.01772105221319175,0.01772105221319175
BCUT2D_CHGHI,0.015124082087353791,0.015124082087353791
SlogP_VSA5,0.01484233566241492,0.01484233566241492
BCUT2D_MWLOW,0.014708911700610876,0.014708911700610876
BCUT2D_LOGPLOW,0.014588656542165337,0.014588656542165337
EState_VSA3,0.014349680688119147,0.014349680688119147
PEOE_VSA7,0.014230596163030417,0.014230596163030417
Kappa3,0.013895499079120908,0.013895499079120908
EState_VSA4,0.013888992599871464,0.013888992599871464
