feature,importance,abs_importance
BCUT2D_MRLOW,0.024932709039568172,0.024932709039568172
MinEStateIndex,0.019238773483493773,0.019238773483493773
VSA_EState4,0.01893868659114263,0.01893868659114263
MaxAbsEStateIndex,0.01848492965606245,0.01848492965606245
BCUT2D_CHGLO,0.01792633211435725,0.01792633211435725
MaxEStateIndex,0.015543464974847605,0.015543464974847605
BCUT2D_MWLOW,0.0144332275952063,0.0144332275952063
BCUT2D_LOGPHI,0.014164058957228982,0.014164058957228982
BCUT2D_LOGPLOW,0.014069427948315933,0.014069427948315933
FractionCSP3,0.013816829184661768,0.013816829184661768
SMR_VSA7,0.01368718427688217,0.01368718427688217
VSA_EState1,0.013305160529566424,0.013305160529566424
VSA_EState7,0.01315628685041567,0.01315628685041567
PEOE_VSA9,0.012583840602477409,0.012583840602477409
VSA_EState6,0.012112739765255688,0.012112739765255688
MinAbsEStateIndex,0.012052798216832012,0.012052798216832012
BertzCT,0.011808908162428498,0.011808908162428498
BCUT2D_CHGHI,0.01180738577729432,0.01180738577729432
Chi3n,0.011692020416674588,0.011692020416674588
qed,0.011605331008215942,0.011605331008215942
