task_name,problem_type,target_column,primary_metric,evaluation_strategy,model_name,mode,fit_seconds,best_params_json,mae,mae_std,rmse,rmse_std,r2,r2_std,title,primary_metric_name,roc_auc,roc_auc_std,f1,f1_std,balanced_accuracy,balanced_accuracy_std,pr_auc,pr_auc_std
regression_ic50,regression,"IC50, mM",mae,holdout,random_forest,direct,14.27898908300267,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1}",219.1599257681299,0.0,478.3251541753931,0.0,0.3140799664364864,0.0,Regression: IC50,mae,,,,,,,,
regression_ic50,regression,"IC50, mM",mae,holdout,svr,direct,0.8022432919970015,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",230.24122293601616,0.0,517.8252444058228,0.0,0.1961158150394777,0.0,Regression: IC50,mae,,,,,,,,
regression_ic50,regression,"IC50, mM",mae,holdout,ridge,direct,1.5346567499946104,"{""alpha"": 1.0}",232.6118663327879,0.0,508.9342040959232,0.0,0.2234841473428365,0.0,Regression: IC50,mae,,,,,,,,
regression_ic50,regression,"IC50, mM",mae,holdout,dummy,direct,1.733601792002446,"{""strategy"": ""median""}",278.88112597827575,0.0,629.993922602542,0.0,-0.1898706907256764,0.0,Regression: IC50,mae,,,,,,,,
regression_cc50,regression,"CC50, mM",mae,holdout,random_forest,direct,14.310320667005726,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2}",291.65988342801916,0.0,510.0439734763063,0.0,0.4982259227607731,0.0,Regression: CC50,mae,,,,,,,,
regression_cc50,regression,"CC50, mM",mae,holdout,svr,direct,0.7401371250016382,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",295.34024025942387,0.0,507.25774108519386,0.0,0.5036930614773059,0.0,Regression: CC50,mae,,,,,,,,
regression_cc50,regression,"CC50, mM",mae,holdout,ridge,direct,1.4920030840003164,"{""alpha"": 0.1}",377.80436927753567,0.0,630.534768021192,0.0,0.2331488774410482,0.0,Regression: CC50,mae,,,,,,,,
regression_cc50,regression,"CC50, mM",mae,holdout,dummy,direct,1.699897416998283,"{""strategy"": ""median""}",507.2455196430975,0.0,762.6385317032215,0.0,-0.1218388292798713,0.0,Regression: CC50,mae,,,,,,,,
regression_si,regression,SI,mae,holdout,random_forest,indirect,30.102153917003307,"{""cc50_component"": {""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1}, ""ic50_component"": {""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1}}",177.64652405416675,0.0,1421.3659257857169,0.0,-0.0057756144352802,0.0,Regression: SI (direct vs indirect),mae,,,,,,,,
regression_si,regression,SI,mae,holdout,random_forest,direct,11.647466040987638,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",178.36735326162378,0.0,1418.413915940897,0.0,-0.0016021974875524,0.0,Regression: SI (direct vs indirect),mae,,,,,,,,
regression_si,regression,SI,mae,holdout,svr,direct,0.7650835000094958,"{""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}",179.12006578748924,0.0,1424.7822598500125,0.0,-0.0106163029869184,0.0,Regression: SI (direct vs indirect),mae,,,,,,,,
regression_si,regression,SI,mae,holdout,ridge,direct,0.8209107919974485,"{""alpha"": 100.0}",179.92297811147577,0.0,1424.976141916137,0.0,-0.0108913677656277,0.0,Regression: SI (direct vs indirect),mae,,,,,,,,
regression_si,regression,SI,mae,holdout,dummy,direct,1.7419133750081528,"{""strategy"": ""median""}",180.85635582002092,0.0,1428.4616163841297,0.0,-0.0158426719868696,0.0,Regression: SI (direct vs indirect),mae,,,,,,,,
regression_si,regression,SI,mae,holdout,dummy,indirect,1.6009712499944726,"{""cc50_component"": {""strategy"": ""median""}, ""ic50_component"": {""strategy"": ""median""}}",181.95432607845953,0.0,1427.8910188156224,0.0,-0.0150312793891376,0.0,Regression: SI (direct vs indirect),mae,,,,,,,,
regression_si,regression,SI,mae,holdout,ridge,indirect,0.2258002919988939,"{""cc50_component"": {""alpha"": 10.0}, ""ic50_component"": {""alpha"": 1.0}}",4795482.86490451,0.0,67985138.01259941,0.0,-2301003443.872135,0.0,Regression: SI (direct vs indirect),mae,,,,,,,,
regression_si,regression,SI,mae,holdout,svr,indirect,1.6638335419993382,"{""cc50_component"": {""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}, ""ic50_component"": {""C"": 1.0, ""epsilon"": 0.01, ""gamma"": ""scale""}}",14075105.047456214,0.0,199546521.3624352,0.0,-19823376263.465527,0.0,Regression: SI (direct vs indirect),mae,,,,,,,,
classification_ic50_gt_median,classification,"IC50, mM",roc_auc,holdout,random_forest,direct,20.722002291004173,"{""class_weight"": null, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",,,,,,,Classification: IC50 > 46.585183,roc_auc,0.785990099009901,0.0,0.7476635514018691,0.0,0.7310396039603961,0.0,,
