target_column,feature,correlation,abs_correlation
"IC50, mM",VSA_EState4,-0.27420285267936484,0.27420285267936484
"IC50, mM",Chi2n,-0.25705778223964754,0.25705778223964754
"IC50, mM",PEOE_VSA7,-0.25598819411341933,0.25598819411341933
"IC50, mM",Chi2v,-0.2491643888208122,0.2491643888208122
"IC50, mM",fr_Ar_NH,0.24551146802507373,0.24551146802507373
"IC50, mM",fr_Nhpyrrole,0.24551146802507373,0.24551146802507373
"IC50, mM",Chi4v,-0.24360024334630828,0.24360024334630828
"IC50, mM",Chi4n,-0.2434974085170058,0.2434974085170058
"IC50, mM",Chi3n,-0.23974072598667884,0.23974072598667884
"IC50, mM",Chi3v,-0.23775923177806652,0.23775923177806652
"IC50, mM",SlogP_VSA5,-0.23639338844904534,0.23639338844904534
"IC50, mM",Chi1n,-0.2298277465691148,0.2298277465691148
"IC50, mM",Chi1v,-0.21980971404262872,0.21980971404262872
"IC50, mM",MolLogP,-0.21838734866488183,0.21838734866488183
"IC50, mM",fr_nitro,0.21594818451072473,0.21594818451072473
"IC50, mM",MolMR,-0.21579200991135403,0.21579200991135403
"IC50, mM",Chi0n,-0.2156412452873075,0.2156412452873075
"IC50, mM",Chi0v,-0.21255167573043576,0.21255167573043576
"IC50, mM",BCUT2D_LOGPHI,-0.2114243780598531,0.2114243780598531
"IC50, mM",FpDensityMorgan1,0.2087097403720611,0.2087097403720611
"CC50, mM",MolMR,-0.3101105343010276,0.3101105343010276
"CC50, mM",LabuteASA,-0.3091913141487129,0.3091913141487129
"CC50, mM",MolWt,-0.3064393112789145,0.3064393112789145
"CC50, mM",ExactMolWt,-0.30638159197571274,0.30638159197571274
"CC50, mM",HeavyAtomCount,-0.3051690289064213,0.3051690289064213
"CC50, mM",Chi0,-0.3047920905996182,0.3047920905996182
"CC50, mM",Chi1,-0.30437979858078373,0.30437979858078373
"CC50, mM",HeavyAtomMolWt,-0.3031631557440387,0.3031631557440387
"CC50, mM",Kappa1,-0.30220568514299245,0.30220568514299245
"CC50, mM",Chi1v,-0.3015254252869364,0.3015254252869364
"CC50, mM",NumValenceElectrons,-0.3014734978502992,0.3014734978502992
"CC50, mM",Kappa2,-0.30047118384140586,0.30047118384140586
"CC50, mM",Chi0v,-0.29682281014787015,0.29682281014787015
"CC50, mM",Chi1n,-0.294734613874761,0.294734613874761
"CC50, mM",Kappa3,-0.2945125849141982,0.2945125849141982
"CC50, mM",FpDensityMorgan1,0.2939891503072972,0.2939891503072972
"CC50, mM",Chi0n,-0.29141431408992974,0.29141431408992974
"CC50, mM",Chi2v,-0.26955841586937374,0.26955841586937374
"CC50, mM",BertzCT,-0.2623269709417464,0.2623269709417464
"CC50, mM",NumAromaticCarbocycles,-0.2584332644131596,0.2584332644131596
SI,BalabanJ,0.1629553427954802,0.1629553427954802
SI,fr_NH2,0.1604697357258686,0.1604697357258686
SI,RingCount,-0.1244438002807601,0.1244438002807601
SI,fr_Al_COO,0.10241448126701598,0.10241448126701598
SI,fr_COO,0.10111528669594953,0.10111528669594953
SI,fr_COO2,0.10111528669594953,0.10111528669594953
SI,NumAromaticRings,-0.08806384964870112,0.08806384964870112
SI,VSA_EState4,0.08783682761587665,0.08783682761587665
SI,FpDensityMorgan1,0.08734077570596814,0.08734077570596814
SI,VSA_EState6,-0.0829951408660025,0.0829951408660025
SI,NHOHCount,0.07914344300075765,0.07914344300075765
SI,fr_benzene,-0.078310770219301,0.078310770219301
SI,NumAromaticCarbocycles,-0.078310770219301,0.078310770219301
SI,SMR_VSA7,-0.07652055007074783,0.07652055007074783
SI,AvgIpc,-0.07562568844405287,0.07562568844405287
SI,NumAliphaticHeterocycles,-0.07531331555093478,0.07531331555093478
SI,MolLogP,-0.07467927464258661,0.07467927464258661
SI,BCUT2D_LOGPHI,-0.07450774288589887,0.07450774288589887
SI,EState_VSA2,0.0713851086509239,0.0713851086509239
SI,SlogP_VSA6,-0.07110059710332355,0.07110059710332355
