feature,importance,abs_importance
NHOHCount,0.05609174829167726,0.05609174829167726
BCUT2D_MWLOW,0.0476450364855084,0.0476450364855084
Kappa1,0.027054641957611356,0.027054641957611356
VSA_EState8,0.02619112051765165,0.02619112051765165
BCUT2D_MRLOW,0.025405030447362035,0.025405030447362035
Kappa2,0.024537868885348018,0.024537868885348018
VSA_EState6,0.023439266589547567,0.023439266589547567
Kappa3,0.023433827042869268,0.023433827042869268
BCUT2D_CHGLO,0.023411548771911442,0.023411548771911442
PEOE_VSA7,0.022960403100114646,0.022960403100114646
MolLogP,0.021999361402996728,0.021999361402996728
VSA_EState4,0.019218728076718882,0.019218728076718882
SPS,0.017853183961378083,0.017853183961378083
PEOE_VSA6,0.01595599575513992,0.01595599575513992
NumHDonors,0.01530712589986727,0.01530712589986727
FpDensityMorgan1,0.012856191453803489,0.012856191453803489
BCUT2D_LOGPLOW,0.012704017544894107,0.012704017544894107
BCUT2D_LOGPHI,0.012592407742427767,0.012592407742427767
BCUT2D_MRHI,0.012458900058096712,0.012458900058096712
Ipc,0.012266423754401554,0.012266423754401554
