feature,importance,abs_importance
Kappa1,-5.291294859905946,5.291294859905946
HallKierAlpha,-2.2354570573356614,2.2354570573356614
fr_NH0,-2.1180290786146228,2.1180290786146228
NumValenceElectrons,1.836197091689689,1.836197091689689
Chi4v,-1.8327423046944569,1.8327423046944569
Chi2n,-1.7803499735070232,1.7803499735070232
BertzCT,-1.771780487249761,1.771780487249761
fr_Ar_OH,-1.747670229204021,1.747670229204021
fr_ether,-1.7359315164800557,1.7359315164800557
NOCount,1.6922529418151817,1.6922529418151817
Chi2v,1.6325710649310299,1.6325710649310299
Chi3n,1.5203322358384097,1.5203322358384097
SlogP_VSA12,1.3172397531797628,1.3172397531797628
EState_VSA10,-1.2098452154305919,1.2098452154305919
fr_Ar_N,1.1465123642759025,1.1465123642759025
SlogP_VSA11,1.1431906193202215,1.1431906193202215
MinAbsPartialCharge,-1.096898680859576,1.096898680859576
PEOE_VSA7,1.0929944437386745,1.0929944437386745
Kappa2,1.0880482117652317,1.0880482117652317
EState_VSA1,1.076685954170819,1.076685954170819
