feature,importance,abs_importance
VSA_EState8,0.08349103791736213,0.08349103791736213
VSA_EState4,0.044094940094158895,0.044094940094158895
VSA_EState6,0.0288688471889077,0.0288688471889077
BCUT2D_MRLOW,0.02795637098416502,0.02795637098416502
SlogP_VSA5,0.02416542697891312,0.02416542697891312
BCUT2D_CHGHI,0.02317355900244353,0.02317355900244353
NumHDonors,0.021427985294530116,0.021427985294530116
MolLogP,0.021090831102458817,0.021090831102458817
NHOHCount,0.020250880935560735,0.020250880935560735
BCUT2D_MWLOW,0.014717265950596775,0.014717265950596775
FpDensityMorgan1,0.014311718445445265,0.014311718445445265
qed,0.014034487045898788,0.014034487045898788
EState_VSA5,0.013701201058250342,0.013701201058250342
VSA_EState5,0.012909420696615439,0.012909420696615439
PEOE_VSA7,0.012817876790447566,0.012817876790447566
FpDensityMorgan3,0.012793844575164188,0.012793844575164188
AvgIpc,0.012563436122292628,0.012563436122292628
Chi2v,0.01213846799708143,0.01213846799708143
Chi3n,0.011920968412158858,0.011920968412158858
MinAbsEStateIndex,0.011833388800712434,0.011833388800712434
