feature,importance,abs_importance
BCUT2D_CHGLO,0.020537806346004953,0.020537806346004953
VSA_EState6,0.020472726716507354,0.020472726716507354
VSA_EState8,0.019679408677068855,0.019679408677068855
BCUT2D_LOGPHI,0.01865165350069032,0.01865165350069032
MaxAbsEStateIndex,0.01808081196934904,0.01808081196934904
RingCount,0.017573564889878962,0.017573564889878962
VSA_EState4,0.016329763865116413,0.016329763865116413
SMR_VSA7,0.01605787904149672,0.01605787904149672
BCUT2D_CHGHI,0.015984080967680638,0.015984080967680638
FractionCSP3,0.015911721789994088,0.015911721789994088
BalabanJ,0.015370200709249372,0.015370200709249372
SMR_VSA5,0.015299401508623972,0.015299401508623972
BCUT2D_MRLOW,0.014913060478110774,0.014913060478110774
BCUT2D_MWLOW,0.013730202277818968,0.013730202277818968
MaxEStateIndex,0.01343986990960693,0.01343986990960693
HallKierAlpha,0.013048832793895565,0.013048832793895565
BertzCT,0.012335386372860226,0.012335386372860226
VSA_EState2,0.012124439027311095,0.012124439027311095
AvgIpc,0.011829880342583057,0.011829880342583057
Chi1n,0.011813653246094437,0.011813653246094437
