feature,importance,abs_importance
NHOHCount,0.048874768317065304,0.048874768317065304
BCUT2D_MWLOW,0.04596726853291476,0.04596726853291476
Kappa1,0.02725462249167792,0.02725462249167792
BCUT2D_MRLOW,0.026119273967985274,0.026119273967985274
VSA_EState6,0.024852238664458123,0.024852238664458123
Kappa2,0.023560817990274693,0.023560817990274693
VSA_EState8,0.023543059858473034,0.023543059858473034
PEOE_VSA7,0.02353918718405904,0.02353918718405904
Kappa3,0.021769932153866925,0.021769932153866925
MolLogP,0.020796096241512827,0.020796096241512827
BCUT2D_CHGLO,0.019871890009959283,0.019871890009959283
SPS,0.019794723983124086,0.019794723983124086
VSA_EState4,0.01851864876889673,0.01851864876889673
NumHDonors,0.015269286085324553,0.015269286085324553
BCUT2D_LOGPHI,0.015021897626600207,0.015021897626600207
AvgIpc,0.014019437866694417,0.014019437866694417
PEOE_VSA6,0.01339691431697501,0.01339691431697501
VSA_EState5,0.012750542593508466,0.012750542593508466
FpDensityMorgan1,0.01269926610546208,0.01269926610546208
MinPartialCharge,0.012205076798965573,0.012205076798965573
